term,estimate,std_error,t_value,p_value,ci_lower,ci_upper
C(split_index)[T.54],0.026010141317202105,0.0037413086809869184,6.95215058019241,3.597590883998805e-12,0.01867731104742069,0.033342971586983516
C(split_index)[T.55],-0.00829752056220994,0.0032398419210748343,-2.5610880914391014,0.010434489456110856,-0.014647494043119675,-0.0019475470813002035
C(split_index)[T.56],0.0008830360367205989,0.002922581319346748,0.30214250357214156,0.7625434324530942,-0.004845118091088581,0.006611190164529779
C(split_index)[T.57],0.022757320129059,0.0028980254636169094,7.852698471688548,4.0717979743448195e-15,0.017077294594089867,0.028437345664028134
C(split_index)[T.58],-0.01199335433275318,0.002751112066590384,-4.359456845979108,1.3038566175778137e-05,-0.01738543490070389,-0.006601273764802469
C(split_index)[T.59],-0.002728856214227875,0.0031266411032695052,-0.8727756477628118,0.38278537555949177,-0.008856960169218685,0.0033992477407629347
C(split_index)[T.60],-0.018271164495170113,0.002922420565868704,-6.252065396938828,4.050597014002371e-10,-0.023999003551951937,-0.012543325438388288
C(split_index)[T.61],-0.027314429615226097,0.0031238893359408237,-8.74372510606231,2.255478376603829e-18,-0.03343714020535886,-0.021191719025093335
C(split_index)[T.62],-0.034727747512500455,0.0030789722509954468,-11.279006331178465,1.6661730915225108e-29,-0.04076242223384975,-0.02869307279115116
C(split_index)[T.63],-0.02398270357166826,0.002825863501462672,-8.486858462645053,2.1229807523704234e-17,-0.029521294259761348,-0.01844411288357517
C(split_index)[T.64],-0.03857435503673883,0.0031385335262876313,-12.290566506187986,1.017901789385485e-34,-0.04472576771253409,-0.03242294236094358
C(split_index)[T.65],-0.02562962603978703,0.0029424938867401843,-8.710171380570168,3.0341570662412586e-18,-0.031396808082527074,-0.019862443997046987
C(split_index)[T.66],-0.03400192779238309,0.002738763482226806,-12.415065416578852,2.16509817767994e-35,-0.03936980557972113,-0.028634050005045045
C(split_index)[T.67],-0.0406444251799961,0.0028310416836747534,-14.35670319316484,9.671985342305419e-47,-0.04619316491873025,-0.035095685441261945
C(split_index)[T.68],-0.03937786794253265,0.0027673242700180225,-14.229582116257088,6.003946996066481e-46,-0.04480172384531157,-0.033954012039753734
C(declared_band)[T.1]:C(model)[T.random_forest],-0.19462987682813168,0.013303116836318457,-14.630396712504114,1.7973606928008677e-48,-0.22070350670944427,-0.1685562469468191
C(declared_band)[T.2]:C(model)[T.random_forest],0.04091123941287689,0.013276197591318392,3.0815479455977424,0.002059273098129814,0.014890370282255424,0.06693210854349835
C(declared_band)[T.3]:C(model)[T.random_forest],0.3340525704940182,0.014369547063221525,23.247258179001125,1.5163395155874328e-119,0.3058887757759507,0.3622163652120857
